,files,x,y
0,images/kba/kba-0016-1\0001.jpg,3.2824886,3.1174707
1,images/kba/kba-0016-1\0002.jpg,1.2909518,5.803547
2,images/kba/kba-0016-1\0003.jpg,3.7226272,3.0891285
3,images/kba/kba-0016-1\0004.jpg,0.40166223,6.889969
4,images/kba/kba-0016-1\0005.jpg,3.7553062,3.0298955
5,images/kba/kba-0016-1\0006.jpg,0.55519724,6.832372
6,images/kba/kba-0016-1\0007.jpg,3.4330347,3.295256
7,images/kba/kba-0016-1\0008.jpg,0.4199412,6.845469
8,images/kba/kba-0016-1\0009.jpg,3.7072012,3.0523734
9,images/kba/kba-0016-1\0010.jpg,1.2190087,5.9351964
10,images/kba/kba-0016-1\0011.jpg,3.7334518,3.0940256
11,images/kba/kba-0016-1\0012.jpg,1.5126586,6.049465
12,images/kba/kba-0016-1\0013.jpg,3.0072446,3.6578343
13,images/kba/kba-0016-1\0014.jpg,-6.6153483,3.3047264
14,images/kba/kba-0016-1\0015.jpg,-6.616306,4.2083573
15,images/kba/kba-0016-1\0016.jpg,-7.0122104,3.385452
16,images/kba/kba-0016-1\0017.jpg,-6.9247084,4.155044
17,images/kba/kba-0016-1\0018.jpg,-6.9407244,3.4218776
18,images/kba/kba-0016-1\0019.jpg,-6.6993494,4.04162
19,images/kba/kba-0016-1\0020.jpg,-7.09058,3.5113924
20,images/kba/kba-0016-1\0021.jpg,-6.8104424,4.37325
21,images/kba/kba-0016-1\0022.jpg,-6.909373,3.57626
22,images/kba/kba-0016-1\0023.jpg,-6.86418,4.0791373
23,images/kba/kba-0016-1\0024.jpg,-6.985482,3.598201
24,images/kba/kba-0016-1\0025.jpg,-6.816059,4.434089
25,images/kba/kba-0016-1\0026.jpg,-7.0425625,3.3297887
26,images/kba/kba-0016-1\0027.jpg,-6.9403424,4.4497294
27,images/kba/kba-0016-1\0028.jpg,-6.7526264,3.2042255
28,images/kba/kba-0016-1\0029.jpg,-6.850623,4.3633885
29,images/kba/kba-0016-1\0030.jpg,-6.871769,3.5718682
30,images/kba/kba-0016-1\0031.jpg,-7.0336823,4.60122
31,images/kba/kba-0016-1\0032.jpg,0.506696,6.431828
32,images/kba/kba-0016-1\0033.jpg,3.9627922,3.0860524
33,images/kba/kba-0016-1\0034.jpg,1.8113431,6.3473673
34,images/kba/kba-0016-1\0035.jpg,4.8868985,5.2687864
35,images/kba/kba-0016-1\0036.jpg,1.6411186,6.4662123
36,images/kba/kba-0016-1\0037.jpg,4.128686,2.7969756
37,images/kba/kba-0016-1\0038.jpg,0.82906973,6.276431
38,images/kba/kba-0016-1\0039.jpg,5.9947267,3.4495225
39,images/kba/kba-0016-1\0040.jpg,1.3806639,6.308886
40,images/kba/kba-0016-1\0041.jpg,5.915822,3.7861526
41,images/kba/kba-0016-1\0042.jpg,2.5177238,7.275481
42,images/kba/kba-0016-1\0043.jpg,6.069751,3.510376
43,images/kba/kba-0016-1\0044.jpg,2.8932996,7.1168647
44,images/kba/kba-0016-1\0045.jpg,5.719418,4.1769185
45,images/kba/kba-0016-1\0046.jpg,2.8434567,7.411726
46,images/kba/kba-0016-1\0047.jpg,4.1654897,3.1146736
47,images/kba/kba-0016-1\0048.jpg,3.5906901,7.2962523
48,images/kba/kba-0016-1\0049.jpg,4.4956646,4.9551845
49,images/kba/kba-0016-1\0050.jpg,3.4505935,6.8049006
50,images/kba/kba-0016-1\0051.jpg,3.8431926,3.7940094
51,images/kba/kba-0016-1\0052.jpg,2.4270523,6.9949803
52,images/kba/kba-0016-1\0053.jpg,5.6155324,4.2622757
53,images/kba/kba-0016-1\0054.jpg,2.6732087,7.6015735
54,images/kba/kba-0016-1\0055.jpg,4.683409,4.5553365
55,images/kba/kba-0016-1\0056.jpg,3.9517388,6.6363626
56,images/kba/kba-0016-1\0057.jpg,5.022936,4.2958155
57,images/kba/kba-0016-1\0058.jpg,4.0171914,6.6409106
58,images/kba/kba-0016-1\0059.jpg,5.284229,4.97993
59,images/kba/kba-0016-1\0060.jpg,3.2543948,7.484433
60,images/kba/kba-0016-1\0061.jpg,4.2309475,4.4597836
61,images/kba/kba-0016-1\0062.jpg,4.278029,6.530092
62,images/kba/kba-0016-1\0063.jpg,5.397866,4.5692773
63,images/kba/kba-0016-1\0064.jpg,0.6781009,6.734983
64,images/kba/kba-0016-1\0065.jpg,5.4804416,4.635857
65,images/kba/kba-0016-1\0066.jpg,2.050809,7.194761
66,images/kba/kba-0016-1\0067.jpg,5.8243375,4.220906
67,images/kba/kba-0016-1\0068.jpg,0.6052102,6.762861
68,images/kba/kba-0016-1\0069.jpg,3.9383144,3.9728162
69,images/kba/kba-0016-1\0070.jpg,1.357506,5.901003
70,images/kba/kba-0016-1\0071.jpg,3.5137613,3.8771238
71,images/kba/kba-0016-1\0072.jpg,2.3086054,7.0466037
72,images/kba/kba-0016-1\0073.jpg,4.225092,2.7168474
73,images/kba/kba-0016-1\0074.jpg,4.3437276,7.1566753
74,images/kba/kba-0016-1\0075.jpg,3.9820542,3.88549
75,images/kba/kba-0016-1\0076.jpg,3.6056933,6.6082187
76,images/kba/kba-0016-1\0077.jpg,4.0104175,3.5050702
77,images/kba/kba-0016-1\0078.jpg,1.1586955,6.043164
78,images/kba/kba-0016-1\0079.jpg,2.1213377,3.818387
79,images/kba/kba-0016-1\0080.jpg,1.2992976,4.7177587
80,images/kba/kba-0016-1\0081.jpg,2.243675,3.7354212
81,images/kba/kba-0016-1\0082.jpg,1.4295608,4.4981146
82,images/kba/kba-0016-1\0083.jpg,2.0213132,3.8621416
83,images/kba/kba-0016-1\0084.jpg,1.5553905,4.818601
84,images/kba/kba-0016-1\0085.jpg,2.4127932,3.7130148
85,images/kba/kba-0016-1\0086.jpg,1.402649,4.6917176
86,images/kba/kba-0016-1\0087.jpg,2.0738206,3.7685614
87,images/kba/kba-0016-1\0088.jpg,1.4958166,4.565341
88,images/kba/kba-0016-1\0089.jpg,2.6864185,4.1054235
89,images/kba/kba-0016-1\0090.jpg,1.6442261,5.206153
90,images/kba/kba-0016-1\0091.jpg,2.6094577,4.065331
91,images/kba/kba-0016-1\0092.jpg,1.7549475,5.1125517
92,images/kba/kba-0016-1\0093.jpg,2.4695234,3.965327
93,images/kba/kba-0016-1\0094.jpg,1.4993062,5.4161263
94,images/kba/kba-0016-1\0095.jpg,3.3325586,3.9629908
95,images/kba/kba-0016-1\0096.jpg,1.066639,5.9280953
96,images/kba/kba-0016-1\0097.jpg,4.428971,2.841157
97,images/kba/kba-0016-1\0098.jpg,4.365368,6.845821
98,images/kba/kba-0016-1\0099.jpg,3.8930335,3.382069
99,images/kba/kba-0016-1\0100.jpg,2.5203478,7.4719877
100,images/kba/kba-0016-1\0101.jpg,4.0012875,2.9483066
101,images/kba/kba-0016-1\0102.jpg,0.672094,6.3356934
102,images/kba/kba-0016-1\0103.jpg,4.3000765,2.7658975
103,images/kba/kba-0016-1\0104.jpg,1.8761898,6.42879
104,images/kba/kba-0016-1\0105.jpg,3.1970887,3.706421
105,images/kba/kba-0016-1\0106.jpg,3.2688236,6.856435
106,images/kba/kba-0016-1\0107.jpg,5.8989916,4.3407593
107,images/kba/kba-0016-1\0108.jpg,2.3810556,7.4993615
108,images/kba/kba-0016-1\0109.jpg,5.752122,3.9533358
109,images/kba/kba-0016-1\0110.jpg,2.90641,7.8078294
110,images/kba/kba-0016-1\0111.jpg,5.6800346,3.6921906
111,images/kba/kba-0016-1\0112.jpg,0.79145604,6.598185
112,images/kba/kba-0016-1\0113.jpg,5.7739244,4.22788
113,images/kba/kba-0016-1\0114.jpg,1.9525465,6.5612698
114,images/kba/kba-0016-1\0115.jpg,5.223298,3.3969839
115,images/kba/kba-0016-1\0116.jpg,2.3623748,7.323974
116,images/kba/kba-0016-1\0117.jpg,5.8387947,3.5422516
117,images/kba/kba-0016-1\0118.jpg,2.7942746,7.589016
118,images/kba/kba-0016-1\0119.jpg,5.313945,3.2974226
119,images/kba/kba-0016-1\0120.jpg,1.763155,6.8330626
120,images/kba/kba-0016-1\0121.jpg,4.997043,5.4749384
121,images/kba/kba-0016-1\0122.jpg,4.0700526,6.63959
122,images/kba/kba-0016-1\0123.jpg,5.3775163,3.4998941
123,images/kba/kba-0016-1\0124.jpg,3.9122686,6.6286254
124,images/kba/kba-0016-1\0125.jpg,5.5531936,3.2909212
125,images/kba/kba-0016-1\0126.jpg,2.122432,6.708309
126,images/kba/kba-0016-1\0127.jpg,4.452567,3.3092034
127,images/kba/kba-0016-1\0128.jpg,3.447168,7.048635
128,images/kba/kba-0016-1\0129.jpg,5.55199,3.6175249
129,images/kba/kba-0016-1\0130.jpg,0.6274295,6.488524
130,images/kba/kba-0016-1\0131.jpg,3.580305,3.607773
131,images/kba/kba-0016-1\0132.jpg,3.9085157,7.112162
132,images/kba/kba-0016-1\0133.jpg,4.53882,4.8983374
133,images/kba/kba-0016-1\0134.jpg,4.351494,7.1904078
134,images/kba/kba-0016-1\0135.jpg,3.3639069,3.7314565
135,images/kba/kba-0016-1\0136.jpg,4.0050726,6.8992853
136,images/kba/kba-0016-1\0137.jpg,4.7978263,5.1232405
137,images/kba/kba-0016-1\0138.jpg,4.4279537,6.787241
138,images/kba/kba-0016-1\0139.jpg,4.663914,4.8757644
139,images/kba/kba-0016-1\0140.jpg,4.5145946,6.943889
